,Item_id,sales_qty,sales_amt,COGS,profit,Comments,Status,Performance_Category,style_category,profit_margin,Customer,Total_Qty,Brand,Closeout_Qty
325,E2871SSYV-KO-S,10.0,500.0,378.34,0.321562,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.000643124,K029,0.0,Unbranded,0.0
326,E287210KW-KO-S,10.0,1907.65,1520.06,0.254983,"NEEDS KOHLS INSPECTION, BEFORE RTS  CLOSEOUT",Active,Hot Seller,EARRING,0.0001336634078578,K029,0.0,Unbranded,0.0
327,E287310KW-KO-S,11.0,2111.52,1480.92,0.425816,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Hot Seller,EARRING,0.0002016632568007,K029,0.0,Unbranded,0.0
328,E290010KW-KO-S,6.0,1411.8,903.95,0.561812,"CERTIFIED-NEEDS TO BE INSPECTED BY KOHLS BEFORE UPLOADING
DO NOT SHARE               ",Active,Healthy,EARRING,0.0003979402181612,K029,6.0,Together As One ,0.0
329,E290010KY-KO-S,6.0,1411.47,876.18,0.610936,"CERTIFIED-NEEDS TO BE INSPECTED BY KOHLS BEFORE UPLOADING
DO NOT SHARE                                                  CLOSEOUT",Active,Healthy,EARRING,0.0004328366879919,K029,4.0,Together As One ,0.0
330,E2972SS-KO-S,3.0,270.0,189.85,0.422175,"NEEDS KOHLS INSPECTION, BEFORE RTS  CLOSEOUT",Active,Healthy,EARRING,0.0015636111111111,K029,6.0,Unbranded,0.0
331,E2972SSPV-KO-S,1.0,90.0,60.33,0.491795,"NEEDS KOHLS INSPECTION, BEFORE RTS                                     8 PCS IN CLOSEOUT",Active,Deadweight,EARRING,0.0054643888888888,K029,8.0,Unbranded,0.0
332,E2972SSYV-KO-S,1.0,90.0,60.33,0.491795,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Deadweight,EARRING,0.0054643888888888,K029,11.0,Unbranded,0.0
333,E3002SS-KO-S,9.0,675.0,445.1,0.516513,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0007652044444444,K029,9.0,Unbranded,0.0
334,E301210KW-KO-S,4.0,508.77,416.84,0.22054,"NEEDS KOHLS INSPECTION, BEFORE RTS  CLOSEOUT",Active,Low Inventory,EARRING,0.0004334768166362,K029,0.0,Unbranded,0.0
335,E310710KPW-KO-S,4.0,762.38,600.54,0.26949,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Low Inventory,EARRING,0.0003534851386447,K029,1.0,Unbranded,0.0
336,E311110KY-KO-S,4.0,566.56,334.56,0.693448,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0012239621575826,K029,5.0,Unbranded,0.0
337,E3119SS-KO-S,19.0,855.0,541.19,0.579851,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0006781883040935,K029,9.0,Unbranded,0.0
338,E3119SSPV-KO-S,10.0,450.0,293.06,0.535521,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0011900466666666,K029,5.0,Unbranded,0.0
339,E3119SSYV-KO-S,10.0,450.0,293.06,0.535521,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0011900466666666,K029,9.0,Unbranded,0.0
340,E312010KP-KO-S,3.0,426.78,299.35,0.425688,"NEEDS KOHLS INSPECTION, BEFORE RTS  CLOSEOUT",Active,Low Inventory,EARRING,0.0009974413046534,K029,0.0,Unbranded,0.0
341,E312010KW-KO-S,2.0,284.52,217.9,0.305736,"NEEDS KOHLS INSPECTION, BEFORE RTS",Active,Healthy,EARRING,0.0010745676929565,K029,0.0,Unbranded,0.0
